RecordId,Group,File,Format,Bytes,Sha256
D0172,07_discrete_dynamics,data/07_discrete_dynamics/D0172.json,JSON,187845,7235bb00a48b37db893d9156ee1f6004a1da963966e815bd499d8a5a02830534
D0173,07_discrete_dynamics,data/07_discrete_dynamics/D0173.json,JSON,58301,62b059b6ec6901073a2871d3c926440e6bb51d10f0713a8b653a841b89c363b0
D0174,07_discrete_dynamics,data/07_discrete_dynamics/D0174.json,JSON,94420,b8dcbd3ed9f005e4c0cd25e49af53c5eb2464f656356912e057946bbe7238665
D0175,07_discrete_dynamics,data/07_discrete_dynamics/D0175.json,JSON,65561,b947f3ab8d5884a3acdaad678b4821975ad950cad7394663efcbe41bdd4accae
D0176,07_discrete_dynamics,data/07_discrete_dynamics/D0176.json,JSON,139461,7a22596e8e7d75e0e16ba30b0c854add9a9f61bbc51605fe370f60996891c7dc
D0177,07_discrete_dynamics,data/07_discrete_dynamics/D0177.json,JSON,137026,61ed55055896f51d0b1b3bf57f848a21449ecde75c32574766a7d23e962d7a93
D0178,07_discrete_dynamics,data/07_discrete_dynamics/D0178.json,JSON,105687,742f6c0d3b5e51b09ea8b99c32f230a1e81a2d826b8e14c734f03cfde760a387
D0179,07_discrete_dynamics,data/07_discrete_dynamics/D0179.json,JSON,58385,a62044fb942b0e17f0394a050dd15da1d6564db43aa74a2da5e6101c0e9b798f
D0180,07_discrete_dynamics,data/07_discrete_dynamics/D0180.json,JSON,98840,5813c0e95577dc913ea11836b3245fc1b839dcfca607b21ace1ad5515c27c5cc
D0181,07_discrete_dynamics,data/07_discrete_dynamics/D0181.json,JSON,73194,e46eec26be2961246339684faa4de45695f1ecbd63cf1df1c61c4a00b200e84e
D0182,07_discrete_dynamics,data/07_discrete_dynamics/D0182.json,JSON,141264,a198bbc88744bcd605495076505b1322960feb5a5d00f7bf8c01523dba713e81
D0183,07_discrete_dynamics,data/07_discrete_dynamics/D0183.json,JSON,507893,ccb89217494f9a0a32787598d2769e08e682aed9691689d21827061636e10083
