EnergyError,RelativeEnergyErrorToReducedState,GoalCorrection,OmittedSchurMinimumEigenvalue,ScaledKernelCoercivity,RetainedKernelCoercivity,ReferenceResidualInfinityNorm,ErrorEnergyIdentityDefect,KktUnknowns,CertificateClass,IndependentPhysicalAccuracyCertified,OnlineSpeedupDemonstrated,Stage,RestrictionLiftPowerDefect,SharedAssemblySeconds,CertificateSeconds,RetainedConstraintCount,PhysicalEquilibriumResidual,RelativeEnergyBudgetMet,JacobianNnz,Geometry,WidthRatio
0.0001252476415558227,0.07358123208750678,1.5776927989820668e-05,0.0021566025542197297,1.2359283310718287e-06,1.230313954595968e-06,3.252758983387019e-16,1.027188588401754e-13,162,exact-shared-linear-tangent-omitted-constraint-correction,False,False,constant,3.469446951953614e-18,1.421206500000153,0.005516700000043784,18,1.4367804733444613e-13,False,5034,double-curvature,0.01
9.780018096857193e-05,0.057517032387088954,9.654958335722217e-06,0.2933452946412345,1.2359283310718287e-06,1.2322290815702994e-06,3.7862838610388215e-16,2.782960677036567e-13,165,exact-shared-linear-tangent-omitted-constraint-correction,False,False,normal-affine,3.469446951953614e-18,1.421206500000153,0.005093800000395277,21,1.4938638771474522e-13,False,5220,double-curvature,0.01
8.994909606543722e-05,0.05291323944725816,8.17356798894464e-06,0.2934460959960123,1.2359283310718287e-06,1.2328486746978046e-06,5.234324800852674e-16,1.3959396363219367e-12,168,exact-shared-linear-tangent-omitted-constraint-correction,False,False,selective-affine,3.469446951953614e-18,1.421206500000153,0.005031599999711034,24,1.0506060981908654e-13,False,5406,double-curvature,0.01
8.758352469568784e-05,0.05152541829271447,7.755343633599863e-06,0.6793913675447409,1.2359283310718287e-06,1.2329529812833381e-06,5.773545975074762e-16,1.04555796776107e-12,171,exact-shared-linear-tangent-omitted-constraint-correction,False,False,translations-affine,1.734723475976807e-18,1.421206500000153,0.004935900000418769,27,1.496405866614584e-13,False,5580,double-curvature,0.01
1.762803330912039e-05,0.010383812056210811,3.1072462706322007e-07,0.45720420166213566,1.2359283310718287e-06,1.235799987909969e-06,4.04576816926544e-16,9.483038090118165e-15,177,exact-shared-linear-tangent-omitted-constraint-correction,False,False,without-width-stretch,1.734723475976807e-18,1.421206500000153,0.00430060000053345,33,1.5453044710282091e-13,True,5856,double-curvature,0.01
0.0,0.0,0.0,,1.2359283310718287e-06,1.2359283310718287e-06,2.8116411651159245e-16,0.0,180,exact-shared-linear-tangent-omitted-constraint-correction,False,False,full-affine,1.734723475976807e-18,1.421206500000153,0.004112599999643862,36,1.3191983344618713e-13,True,6030,double-curvature,0.01
0.00013179562504188978,0.08261554557969461,1.7536821226431726e-05,0.0037876365461726805,1.4192376707773731e-06,1.4097948911098803e-06,3.433007594562734e-16,5.33355013007979e-13,162,exact-shared-linear-tangent-omitted-constraint-correction,False,False,constant,3.469446951953614e-18,1.4404309999999896,0.0051976000004287926,18,1.094442507273242e-13,False,5034,double-curvature,0.02
0.00010294234745536766,0.06461502567112014,1.0759524486147392e-05,0.29323777074431256,1.4192376707773731e-06,1.4132982283505071e-06,2.6534852907869697e-16,6.244565119495256e-16,165,exact-shared-linear-tangent-omitted-constraint-correction,False,False,normal-affine,0.0,1.4404309999999896,0.005138299999998708,21,9.759743757432166e-14,False,5220,double-curvature,0.02
9.381675002672166e-05,0.05890789522215692,8.931599269731804e-06,0.29331475192231526,1.4192376707773731e-06,1.414444353888736e-06,4.13833192974139e-16,8.627446200051222e-13,168,exact-shared-linear-tangent-omitted-constraint-correction,False,False,selective-affine,0.0,1.4404309999999896,0.005276500000036322,24,1.1324841287140993e-13,False,5406,double-curvature,0.02
9.09738268271103e-05,0.05712872959639193,8.409243760193896e-06,0.6784639738818812,1.4192376707773731e-06,1.4146032685659082e-06,3.955787859278616e-16,4.897376572764844e-13,171,exact-shared-linear-tangent-omitted-constraint-correction,False,False,translations-affine,3.469446951953614e-18,1.4404309999999896,0.005240199999207107,27,1.5514813727144532e-13,False,5580,double-curvature,0.02
