Case,Method,TimeStepS,FoldedAngleRad,ReleaseTimeS,CablePretensionN,TrajectoryRelativeError,EventTimeS,EventTimeRelativeError,EventCount,ReferenceEventCount,MissedEventCount,SimultaneousEventCount,GrazingEventCount,NormalImpulse,ImpulseRelativeError,PostimpactNormalVelocity,PostimpactVelocityRelativeError,MaximumConstraintDrift,MaximumRelativeEnergyBalanceError,MaximumImpactMomentumDefect,MaximumImpactRestitutionDefect,RelativeGlobalMomentumBalanceError,PeakInterfaceMomentNm,RuntimeSeconds,AllStepsConverged
isolated-impact,event-localized-impulse-newmark,0.003125,0.76,0.02,19.70998632374672,5.685071383956319e-05,0.29314476866373473,3.441907466868106e-05,1,1,0,0,0,0.08737455934565196,2.3296016674946553e-06,0.970697595231278,2.3296016679319128e-06,0.0,6.6419369242243955e-06,1.387825045902134e-17,2.220446049250313e-16,3.136904488428995e-05,0.002819041167572334,0.2777429999987362,True
isolated-impact,event-localized-impulse-newmark,0.0015625,0.76,0.02,19.70998632374672,1.418813794353096e-05,0.2931372083178143,8.627701433552701e-06,1,1,0,0,0,0.08737471695924601,5.257215901051737e-07,0.9706993462574105,5.257215904045093e-07,0.0,1.6639093018414544e-06,1.458600818862612e-19,1.1102230246251565e-16,3.1182280584000675e-05,0.0028309735287320417,0.5893502999970224,True
near-simultaneous-impact,average-acceleration-newmark,0.0125,0.76,0.02,19.70998632374672,0.004605404771942863,0.2950000000000001,0.006363357503515263,1,1,0,1,0,0.087085079862863,0.003327052050344223,0.9674700838598453,0.003327261968320973,0.006704192896112455,0.005946757258033599,2.775590365865788e-17,3.3306690738754696e-16,0.0019207393227650164,0.002398414060128212,0.15817370000149822,True
near-simultaneous-impact,average-acceleration-newmark,0.00625,0.76,0.02,19.70998632374672,0.004361190620163072,0.295,0.006363357503514885,1,1,0,1,0,0.087063509154794,0.0035739248927915378,0.9672304651286585,0.0035741134843315214,0.007186572951144525,0.006393482313159158,2.775608728997608e-17,5.551115123125783e-16,0.0010198104615543474,0.002473415410258126,0.19816010000067763,True
near-simultaneous-impact,average-acceleration-newmark,0.003125,0.76,0.02,19.70998632374672,0.0042951494598659126,0.2949999999999995,0.006363357503513181,1,1,0,1,0,0.08705871454141839,0.0036287983734711905,0.9671772965290093,0.003628886954512917,0.0073073158672441905,0.006504367040357784,1.3878990230764676e-17,3.3306690738754696e-16,0.0005173488286571779,0.0022833697824198437,0.2870634000064456,True
near-simultaneous-impact,average-acceleration-newmark,0.0015625,0.76,0.02,19.70998632374672,0.0006990979355218772,0.29343749999999996,0.0010330431099580563,1,1,0,1,0,0.08732537307575708,0.000576939800983265,0.9701398047793268,0.0005769567103182628,0.001183226193424332,0.0010362617219724277,4.1633712623598494e-17,3.3306690738754696e-16,6.976418612089657e-05,0.002271214082986992,0.5606478999980027,True
near-simultaneous-impact,generalized-alpha-end-detection,0.0125,0.76,0.02,19.70998632374672,0.004635167031923436,0.2950000000000001,0.006363357503515263,1,1,0,1,0,0.08708617720233007,0.0033144931991234464,0.9674822316094946,0.0033147475442515564,0.006612853679844608,0.005960781540104797,1.3878475442823852e-17,0.0,0.001175306565080269,0.0023779774910604313,0.10603719999926398,True
near-simultaneous-impact,generalized-alpha-end-detection,0.00625,0.76,0.02,19.70998632374672,0.004369245752040836,0.295,0.006363357503514885,1,1,0,1,0,0.0870638633022251,0.0035698717396598864,0.9672343925793907,0.003570067485245826,0.007163477830470196,0.006395289609802509,1.3878966231660834e-17,6.661338147750939e-16,0.0008829071482777092,0.002443629950754497,0.1700392999991891,True
near-simultaneous-impact,generalized-alpha-end-detection,0.003125,0.76,0.02,19.70998632374672,0.00429651653731658,0.2949999999999995,0.006363357503513181,1,1,0,1,0,0.08705878238769925,0.0036280218850893004,0.9671780451244949,0.003628115763005543,0.007301771237214796,0.0065048351082980455,2.7755903080284515e-17,4.440892098500626e-16,0.00046343484227111346,0.002283573205487618,0.29581790000520414,True
near-simultaneous-impact,generalized-alpha-end-detection,0.0015625,0.76,0.02,19.70998632374672,0.0006994622600229626,0.29343749999999996,0.0010330431099580563,1,1,0,1,0,0.08732538877952077,0.0005767600742553611,0.9701399780862769,0.0005767781721749322,0.001181853853739086,0.0010364719050282225,2.775633947087074e-17,7.771561172376096e-16,5.89646120668782e-05,0.002271148406158275,0.6476198000018485,True
near-simultaneous-impact,step-end-velocity-projection,0.0125,0.76,0.02,19.70998632374672,0.15709037664794384,0.2950000000000001,0.006363357503515263,1,1,0,1,0,0.06966806389029039,0.20266164164027553,-4.440892098500626e-16,1.0000000000000004,0.006704192896112455,0.9171765396861709,1.3878250253848612e-17,4.440892098500626e-16,0.002339477335096333,0.001942891249421372,0.14022059999842895,True
near-simultaneous-impact,step-end-velocity-projection,0.00625,0.76,0.02,19.70998632374672,0.15706332658984362,0.295,0.006363357503514885,1,1,0,1,0,0.06965080732383522,0.202859139914233,4.440892098500626e-16,0.9999999999999996,0.007186572951144525,0.9171714521934169,1.3878918402951486e-17,6.83481049534862e-16,0.0012441357570275615,0.0019700375967113106,0.18127559999993537,True
near-simultaneous-impact,step-end-velocity-projection,0.003125,0.76,0.02,19.70998632374672,0.15705709487586286,0.2949999999999995,0.006363357503513181,1,1,0,1,0,0.06964697163313471,0.20290303869877696,0.0,1.0,0.0073073158672441905,0.9171799190191919,1.3878295144599814e-17,4.675079767757495e-16,0.0006313802364264333,0.001863079111431712,0.28553060000558617,True
near-simultaneous-impact,step-end-velocity-projection,0.0015625,0.76,0.02,19.70998632374672,0.15525454182968354,0.29343749999999996,0.0010330431099580563,1,1,0,1,0,0.06986029846060568,0.20046155184078643,0.0,1.0,0.001183226193424332,0.9172975991611276,1.387902796109739e-17,1.5612511283791264e-16,7.858736291473357e-05,0.001811732633060429,0.6030937999967136,True
near-simultaneous-impact,event-localized-impulse-newmark,0.0125,0.76,0.02,19.70998632374672,0.0008165608155567168,0.2932948651402695,0.0005464583766176745,1,1,0,1,0,0.08737541328145763,4.238720498320476e-06,0.9706955954438254,4.389751815247083e-06,2.168404344971009e-19,6.402972582281222e-05,1.387942173584189e-17,7.771561172376096e-16,0.0002564700421497836,0.002373181359770611,0.2430032999982359,True
near-simultaneous-impact,event-localized-impulse-newmark,0.00625,0.76,0.02,19.70998632374672,0.00021919334541716542,0.293174812485513,0.00013691060469254152,1,1,0,1,0,0.08737511296704172,7.675764532691428e-06,0.970692281931858,7.803280667681011e-06,2.168404344971009e-19,2.098362142736096e-05,1.3878466660924553e-17,2.220446049250313e-16,0.00010448444152589154,0.0024433490292455036,0.3010383000000729,True
near-simultaneous-impact,event-localized-impulse-newmark,0.003125,0.76,0.02,19.70998632374672,5.470656453763425e-05,0.29314476866373473,3.441907466868106e-05,1,1,0,1,0,0.08737558313299117,2.294800496109658e-06,0.970697595231278,2.3296016679319128e-06,3.970466940254533e-23,5.410847816436265e-06,1.387808476893948e-17,9.992007221626409e-16,2.9900310217982262e-05,0.0022707405399114656,0.4685724000009941,True
near-simultaneous-impact,event-localized-impulse-newmark,0.0015625,0.76,0.02,19.70998632374672,1.3696228752939328e-05,0.2931372083178143,8.627701433552701e-06,1,1,0,1,0,0.08737573839278646,5.178802920808234e-07,0.9706993462574105,5.257215904045093e-07,1.3234889800848443e-22,1.3515618178104894e-06,1.3878458563995547e-17,8.881784197001252e-16,2.9750106469830343e-05,0.0022704803429357224,0.6641291999985697,True
